order_id,order_date,customer_id,product_id,warehouse_id,quantity,sales_amount,discount,delivery_days
O00030,2026-04-20,C3745,P0500,W001,7,23426.51,0.24,4
O00031,2026-04-22,C2888,P0398,W002,9,47175.78,0.04,2
O00032,2026-01-12,C2021,P0356,W002,2,5957.5,0.21,15
O00033,2024-07-26,C1607,P0201,W004,9,43424.24,0.13,15
O00034,2026-01-24,C0393,P0082,W005,1,4412.41,0.09,5
O00035,2025-08-11,C2834,P0021,W005,2,11407.03,0.22,10
O00036,2025-01-19,C3496,P0325,W004,9,54901.46,0.01,14
O00037,2025-01-01,C3869,P0372,W004,6,36124.41,0.11,15
O00038,2024-07-31,C4738,P0158,W001,6,20369.48,0.03,1
O00039,2025-03-05,C4714,P0486,W003,7,26385.93,0.06,7
O00040,2026-04-12,C2395,P0279,W004,3,13731.87,0.04,6
O00041,2025-05-21,C4226,P0322,W002,6,9301.62,0.12,6
O00042,2024-11-05,C0313,P0387,W001,6,43719.11,0.05,15
O00043,2025-07-16,C3805,P0483,W001,4,20823.28,0.08,4
O00044,2024-10-03,C0738,P0020,W005,4,20350.64,0.23,7
O00045,2024-06-16,C0642,P0244,W002,10,30621.51,0.18,15
O00046,2025-05-10,C2902,P0067,W005,5,4084.92,0.1,10
O00047,2025-02-05,C1241,P0144,W004,3,8925.42,0.22,15
O00048,2025-03-25,C1213,P0452,W001,7,32020.14,0.09,13
O00049,2026-05-11,C2226,P0037,W005,8,5008.08,0.16,3
O00050,2025-08-06,C0150,P0139,W004,9,37038.37,0.09,11
O00051,2024-08-21,C1379,P0130,W005,10,30916.23,0.08,7
O00052,2025-04-08,C3679,P0053,W004,6,18425.36,0.24,4
O00053,2024-10-23,C1144,P0136,W004,3,7084.98,0.22,4
O00054,2024-08-26,C0162,P0346,W003,2,6040.78,0.18,1
O00055,2024-11-09,C2250,P0469,W003,5,28861.47,0.01,14
O00056,2026-04-17,C2015,P0066,W002,5,13999.54,0.01,11
O00057,2024-08-07,C4515,P0412,W004,7,9713.05,0.07,13
O00058,2025-08-13,C2200,P0166,W003,10,27120.44,0.11,13
O00059,2026-01-24,C2785,P0364,W004,3,23157.51,0.13,3
O00060,2024-10-23,C2685,P0100,W005,2,3600.27,0.21,10
O00061,2024-08-29,C4426,P0410,W003,1,1679.2,0.1,1
O00062,2025-09-20,C2221,P0315,W004,6,9218.01,0.09,9
O00063,2025-10-25,C2674,P0216,W003,1,6965.78,0.01,4
O00064,2025-03-26,C1766,P0458,W005,5,24610.54,0.1,2
O00065,2025-02-27,C4610,P0193,W005,3,12996.76,0.13,10
O00066,2026-05-05,C1673,P0486,W004,5,16240.58,0.19,4
O00067,2025-07-02,C1611,P0124,W003,5,22389.55,0.04,11
O00068,2024-11-21,C0713,P0302,W003,6,21721.71,0.22,5
O00069,2025-03-19,C3147,P0324,W005,3,5414.65,0.06,2
O00070,2026-03-24,C1819,P0437,W005,8,32220.52,0.16,1
O00071,2026-04-20,C3868,P0197,W003,9,29550.31,0.14,4
O00072,2026-02-26,C1376,P0298,W005,5,3874.26,0.15,8
O00073,2025-02-03,C2208,P0316,W003,8,27784.39,0.13,11
O00074,2026-05-09,C0458,P0181,W004,3,7710.9,0.05,2
O00075,2024-09-17,C0984,P0235,W005,9,37463.23,0.14,4
O00076,2026-03-13,C3927,P0075,W004,7,13454.09,0.13,14
O00077,2025-02-22,C3848,P0308,W003,10,9562.86,0.1,3
O00078,2025-08-15,C0211,P0147,W004,4,17652.7,0.2,8
O00079,2025-10-14,C0780,P0463,W004,8,49308.78,0.19,8
O00080,2024-11-12,C2647,P0162,W002,2,4550.32,0.0,10
O00081,2024-08-30,C4933,P0105,W002,9,40107.47,0.1,14
O00082,2026-02-09,C4237,P0371,W001,3,10488.5,0.17,9
O00083,2026-05-04,C3053,P0184,W001,3,3211.34,0.08,8
O00084,2025-04-08,C3018,P0178,W003,7,27764.61,0.05,7
O00085,2025-03-11,C3163,P0395,W001,4,10503.66,0.19,9
O00086,2026-01-16,C2230,P0238,W003,9,41217.63,0.06,1
O00087,2025-04-10,C4302,P0026,W003,1,276.42,0.05,7
O00088,2026-05-10,C4892,P0294,W005,4,15075.77,0.15,12
O00089,2024-07-28,C4662,P0152,W002,1,1224.71,0.03,3
O00090,2025-12-05,C0368,P0483,W005,3,14429.18,0.15,14
O00091,2024-08-24,C2983,P0388,W001,3,19385.57,0.02,5
O00092,2025-01-07,C3133,P0269,W002,3,10167.24,0.14,5
O00093,2026-05-17,C1411,P0180,W004,3,758.28,0.11,11
O00094,2025-04-24,C4801,P0092,W003,10,37586.55,0.23,5
O00095,2025-01-10,C4343,P0262,W003,5,25177.85,0.22,5
O00096,2025-01-07,C4526,P0193,W003,8,38243.33,0.04,10
O00097,2025-03-17,C4347,P0152,W001,10,11994.6,0.05,5
O00098,2025-10-25,C1361,P0475,W004,9,7975.73,0.2,2
O00099,2026-01-05,C1967,P0052,W005,10,27344.59,0.15,15
O00100,2026-02-02,C4279,P0121,W001,8,8462.41,0.17,12
O00101,2024-12-16,C3765,P0429,W002,1,4002.47,0.11,15
O00102,2025-07-28,C1314,P0018,W005,9,20144.67,0.14,13
O00103,2026-03-15,C0824,P0311,W002,2,11335.23,0.16,15
O00104,2025-11-20,C0693,P0038,W001,1,3833.92,0.21,3
O00105,2025-03-12,C1826,P0359,W001,10,25720.15,0.15,3
O00106,2024-06-29,C2783,P0270,W005,7,18986.81,0.21,14
O00107,2026-02-20,C4651,P0450,W005,7,30989.33,0.14,12
O00108,2024-11-27,C1437,P0193,W004,5,20914.32,0.16,3
O00109,2025-05-14,C3897,P0133,W001,7,16173.34,0.23,6
O00110,2025-03-24,C4902,P0468,W004,3,10040.83,0.2,2
O00111,2026-05-07,C3513,P0256,W002,5,26819.38,0.04,2
O00112,2025-11-16,C0984,P0032,W001,6,8233.02,0.25,5
O00113,2025-08-13,C1897,P0296,W001,5,14436.34,0.13,6
O00114,2025-12-29,C1627,P0410,W003,4,5746.6,0.23,9
O00115,2024-11-19,C1202,P0181,W005,9,22402.2,0.08,15
O00116,2025-12-30,C3820,P0039,W003,4,17422.52,0.1,10
O00117,2024-09-18,C4929,P0335,W001,5,22905.3,0.12,15
O00118,2025-05-17,C1115,P0057,W001,3,12776.44,0.12,8
O00119,2025-10-31,C2332,P0077,W001,1,3455.33,0.08,1
O00120,2025-09-01,C0897,P0261,W005,4,15847.13,0.07,15
O00121,2026-04-05,C0786,P0400,W002,5,26396.16,0.04,11
O00122,2026-05-14,C4033,P0172,W001,6,26805.21,0.09,9
O00123,2025-11-20,C4405,P0441,W001,6,33767.48,0.05,1
O00124,2024-09-21,C3964,P0046,W001,9,36363.22,0.01,1
O00125,2025-02-27,C1311,P0232,W004,2,10674.3,0.18,13
O00126,2025-01-06,C1018,P0466,W004,8,47251.32,0.19,3
O00127,2025-11-11,C4506,P0044,W001,1,4005.78,0.22,10
O00128,2025-05-26,C4802,P0321,W002,2,1430.63,0.21,15
O00129,2025-01-09,C0965,P0495,W002,10,34075.89,0.24,12
O00130,2024-12-21,C1822,P0181,W001,8,18397.94,0.15,1
O00131,2024-12-19,C1871,P0036,W005,6,11281.72,0.12,3
O00132,2026-03-29,C0616,P0011,W004,4,16176.12,0.16,14
O00133,2024-10-25,C1088,P0491,W001,3,1932.88,0.04,10
O00134,2024-11-02,C3161,P0317,W003,9,42211.1,0.09,1
O00135,2024-12-08,C0522,P0099,W005,8,7519.62,0.2,10
O00136,2024-07-25,C1736,P0081,W002,6,27976.6,0.24,3
O00137,2026-02-09,C3636,P0174,W002,5,17599.76,0.15,6
O00138,2024-09-26,C4304,P0169,W003,4,1760.71,0.22,11
O00139,2025-07-08,C0696,P0302,W005,5,20886.26,0.1,11
O00140,2026-04-03,C0591,P0477,W001,9,62170.26,0.06,13
O00141,2026-01-08,C0214,P0165,W004,3,8541.79,0.02,8
O00142,2024-08-04,C4237,P0269,W001,6,17970.0,0.24,13
O00143,2024-12-20,C1057,P0414,W003,5,4462.42,0.07,5
O00144,2024-08-23,C3293,P0139,W002,7,24375.68,0.23,13
O00145,2025-05-21,C2159,P0126,W001,10,45385.91,0.11,12
O00146,2025-12-10,C0583,P0032,W001,6,9440.53,0.14,13
O00147,2025-04-27,C3588,P0178,W004,10,36741.14,0.12,8
O00148,2025-02-27,C0944,P0145,W002,4,7391.68,0.08,1
O00149,2024-08-03,C1890,P0465,W002,1,2580.95,0.03,8
O00150,2026-05-09,C2991,P0432,W005,9,17748.16,0.24,14
O00151,2024-11-11,C1284,P0027,W005,1,4708.04,0.24,7
O00152,2024-12-08,C1570,P0261,W001,8,29649.46,0.13,1
O00153,2025-12-02,C2169,P0468,W003,3,12049.0,0.04,4
O00154,2025-12-10,C1591,P0130,W002,4,10215.8,0.24,12
O00155,2025-03-25,C4426,P0168,W004,8,21360.46,0.22,4
O00156,2026-01-20,C1695,P0489,W003,5,16317.15,0.03,6
O00157,2025-05-18,C0284,P0271,W004,3,10392.78,0.12,15
O00158,2026-02-19,C1045,P0090,W003,6,9439.65,0.14,14
O00159,2024-11-14,C2176,P0037,W002,9,6304.82,0.06,1
O00160,2025-01-21,C0700,P0210,W001,7,23788.4,0.04,5
O00161,2024-12-16,C3267,P0024,W005,4,15666.74,0.03,15
O00162,2025-05-14,C0116,P0457,W005,7,22275.15,0.13,7
O00163,2026-03-06,C3609,P0021,W003,1,6873.47,0.06,7
O00164,2025-05-03,C1173,P0470,W003,9,7265.0,0.21,12
O00165,2026-04-18,C1727,P0370,W002,9,25864.3,0.07,9
O00166,2025-10-24,C0197,P0411,W005,3,20431.17,0.17,11
O00167,2025-02-13,C0846,P0300,W003,1,4130.73,0.24,12
O00168,2026-03-05,C3044,P0364,W005,9,65479.86,0.18,10
O00169,2026-02-17,C2562,P0135,W004,1,5140.83,0.13,7
O00170,2024-10-02,C4570,P0270,W001,10,27810.7,0.19,4
O00171,2026-05-23,C0102,P0108,W003,1,2670.18,0.16,8
O00172,2026-06-04,C3438,P0052,W005,2,5211.56,0.19,15
O00173,2026-05-13,C0905,P0203,W002,9,50169.04,0.17,2
O00174,2026-01-31,C1467,P0378,W005,5,4426.5,0.0,8
O00175,2024-12-08,C2205,P0036,W003,7,14508.13,0.03,13
O00176,2025-02-01,C0379,P0284,W001,4,13575.84,0.07,1
O00177,2025-01-28,C1078,P0019,W004,9,28025.27,0.23,3
O00178,2025-08-03,C2554,P0248,W002,3,13498.23,0.01,5
O00179,2025-08-04,C0321,P0236,W005,5,25488.41,0.16,9
O00180,2024-07-11,C2683,P0181,W004,1,2516.19,0.07,14
O00181,2025-12-07,C4477,P0042,W003,10,13791.82,0.14,6
O00182,2024-10-29,C4785,P0171,W002,4,28682.36,0.09,13
O00183,2026-05-06,C2356,P0481,W005,4,8777.02,0.01,13
O00184,2025-01-15,C1781,P0103,W005,3,4419.81,0.0,3
O00185,2025-03-22,C1890,P0277,W001,1,3259.89,0.19,7
O00186,2026-02-07,C4841,P0467,W003,7,41634.24,0.19,12
O00187,2025-06-06,C1527,P0125,W004,8,10169.16,0.04,5
O00188,2025-07-31,C1235,P0453,W003,8,52155.56,0.14,10
O00189,2024-07-14,C1540,P0273,W004,2,6285.91,0.14,4
O00190,2026-05-26,C0364,P0143,W004,4,21925.18,0.13,2
O00191,2026-03-30,C4305,P0125,W003,6,7070.75,0.11,6
O00192,2024-12-30,C4952,P0337,W004,1,4560.92,0.11,3
O00193,2025-07-30,C2361,P0431,W001,8,31859.5,0.1,2
O00194,2024-10-02,C4431,P0064,W005,6,23978.19,0.09,9
O00195,2026-05-16,C3150,P0038,W003,5,23779.99,0.02,7
O00196,2026-03-04,C4892,P0071,W004,2,15121.5,0.03,14
O00197,2024-11-17,C2149,P0012,W001,8,43221.09,0.16,5
O00198,2026-02-24,C0699,P0040,W004,8,47402.47,0.11,6
O00199,2026-05-26,C3255,P0184,W004,10,10588.12,0.09,5
O00200,2025-12-08,C3351,P0420,W005,5,10691.07,0.24,6
O00201,2024-06-28,C0634,P0331,W004,1,995.9,0.08,9
O00202,2026-02-03,C4967,P0241,W001,8,26432.68,0.07,1
O00203,2024-10-22,C0521,P0137,W002,5,8794.85,0.04,11
O00204,2025-11-12,C1904,P0362,W002,1,854.25,0.11,10
O00205,2025-03-19,C0780,P0084,W003,6,4672.16,0.23,14
O00206,2025-08-25,C1473,P0398,W005,5,22113.65,0.19,2
O00207,2025-11-13,C2897,P0447,W003,8,4751.76,0.24,10
O00208,2025-07-06,C0909,P0161,W003,6,17640.92,0.04,11
O00209,2025-08-26,C0943,P0245,W003,6,19692.21,0.11,9
O00210,2025-09-16,C3778,P0023,W001,4,16377.53,0.18,11
O00211,2025-08-28,C0527,P0334,W003,5,22547.02,0.23,5
O00212,2024-08-19,C0532,P0022,W001,5,35869.46,0.1,3
O00213,2025-10-11,C0276,P0325,W002,10,49910.42,0.19,1
O00214,2025-04-16,C1545,P0290,W004,1,4202.86,0.02,11
O00215,2024-09-20,C0749,P0173,W004,2,10787.59,0.06,10
O00216,2024-07-30,C3632,P0352,W005,3,11119.94,0.18,5
O00217,2026-05-29,C4111,P0165,W003,3,8280.3,0.05,1
O00218,2025-08-30,C1555,P0312,W005,5,14530.52,0.23,6
O00219,2025-05-03,C0196,P0311,W004,6,30767.05,0.24,4
O00220,2025-04-17,C1058,P0224,W002,3,5840.29,0.09,2
O00221,2024-11-20,C1892,P0111,W002,1,595.14,0.14,3
O00222,2025-02-24,C3179,P0464,W004,7,19104.39,0.09,1
O00223,2026-05-11,C3105,P0102,W005,3,4210.51,0.12,8
O00224,2024-07-02,C4898,P0258,W005,9,54824.74,0.14,7
O00225,2024-10-25,C3504,P0299,W001,5,18055.09,0.16,10
O00226,2024-09-09,C3617,P0252,W001,10,44472.16,0.19,14
O00227,2026-06-03,C1626,P0188,W004,6,14056.29,0.06,8
O00228,2025-01-26,C3043,P0395,W002,5,13129.57,0.19,9
O00229,2025-07-10,C4754,P0031,W004,2,13169.73,0.13,10
O00230,2024-08-28,C1043,P0072,W005,5,14147.99,0.19,4
O00231,2025-10-04,C1164,P0386,W003,5,20866.09,0.18,15
O00232,2026-04-03,C4282,P0393,W001,5,20275.57,0.18,13
O00233,2025-12-05,C2351,P0474,W004,3,7792.3,0.07,9
O00234,2025-05-02,C2302,P0396,W004,2,12837.04,0.03,4
O00235,2026-06-08,C3017,P0463,W002,7,48471.75,0.09,6
O00236,2025-03-05,C2507,P0477,W001,9,66138.57,0.0,4
O00237,2025-04-05,C2898,P0436,W005,10,59399.81,0.19,10
O00238,2024-09-23,C2709,P0359,W002,4,11861.53,0.02,14
O00239,2025-10-15,C2125,P0177,W001,6,28116.47,0.06,1
O00240,2024-11-14,C4601,P0237,W001,7,38339.53,0.18,8
O00241,2025-10-17,C1453,P0175,W003,3,20251.5,0.0,14
O00242,2025-01-02,C1689,P0052,W001,1,2895.31,0.1,7
O00243,2026-01-30,C4173,P0082,W002,10,46063.6,0.05,15
O00244,2024-11-16,C2047,P0274,W002,9,42110.25,0.11,9
O00245,2025-02-24,C3720,P0040,W002,3,15978.36,0.2,7
O00246,2025-09-27,C3331,P0120,W005,2,926.07,0.16,1
O00247,2025-07-25,C4114,P0206,W004,6,30356.99,0.15,6
O00248,2024-09-01,C2771,P0105,W003,4,16241.05,0.18,9
O00249,2025-03-04,C4853,P0275,W001,4,7406.81,0.23,9
O00250,2025-10-02,C1608,P0086,W002,10,20699.71,0.04,5
O00251,2025-06-27,C4641,P0365,W003,9,16335.43,0.02,1
O00252,2026-05-16,C4498,P0074,W001,5,25263.31,0.03,4
O00253,2024-11-30,C4671,P0252,W005,5,26628.39,0.03,7
O00254,2024-11-08,C4039,P0284,W003,6,21239.62,0.03,5
O00255,2026-02-28,C0058,P0218,W001,5,3260.88,0.21,9
O00256,2026-05-09,C1186,P0381,W002,2,4716.68,0.07,3
O00257,2025-07-25,C3662,P0039,W004,2,9582.39,0.01,9
O00258,2025-08-08,C0270,P0048,W001,1,1500.05,0.19,4
O00259,2025-05-16,C1722,P0134,W005,7,43947.58,0.07,5
O00260,2025-04-23,C3862,P0028,W001,5,6354.21,0.24,7
O00261,2024-12-19,C4171,P0473,W004,5,12993.25,0.08,1
O00262,2025-03-09,C3819,P0210,W001,2,5309.91,0.25,15
O00263,2025-02-19,C1467,P0130,W003,8,24732.99,0.08,15
O00264,2025-07-17,C0731,P0073,W003,5,24241.8,0.12,4
O00265,2025-03-26,C1884,P0174,W003,1,3312.9,0.2,13
O00266,2024-10-08,C4981,P0313,W001,7,16603.07,0.25,7
O00267,2025-03-21,C3607,P0025,W002,8,16974.88,0.13,5
O00268,2024-09-27,C4244,P0081,W005,6,32025.85,0.13,12
O00269,2025-06-30,C3477,P0347,W002,7,39590.58,0.05,1
O00270,2024-09-09,C1781,P0233,W003,2,9995.1,0.02,4
O00271,2025-06-30,C3980,P0007,W005,2,10665.27,0.14,10
O00272,2026-03-02,C1332,P0207,W003,8,18942.08,0.15,12
O00273,2025-11-19,C3048,P0318,W003,2,9372.35,0.23,9
O00274,2025-06-18,C1185,P0480,W004,3,8675.57,0.22,13
O00275,2026-04-20,C2386,P0275,W004,4,8080.16,0.16,3
O00276,2026-01-25,C4247,P0233,W003,9,39470.44,0.14,11
O00277,2025-02-14,C0845,P0152,W001,2,2196.91,0.13,2
O00278,2025-12-20,C0312,P0468,W001,2,7865.32,0.06,9
O00279,2025-07-07,C2882,P0165,W005,5,10895.14,0.25,2
O00280,2026-05-07,C4900,P0362,W005,8,6296.48,0.18,2
O00281,2026-02-17,C1895,P0193,W001,2,8963.28,0.1,4
O00282,2024-12-18,C4048,P0077,W003,4,14272.0,0.05,8
O00283,2025-12-15,C0901,P0497,W004,10,14506.75,0.04,9
O00284,2026-06-08,C3226,P0144,W005,2,6331.7,0.17,6
O00285,2026-03-25,C3592,P0013,W001,8,54254.05,0.17,15
O00286,2025-06-14,C1018,P0012,W002,2,10676.64,0.17,14
O00287,2026-03-09,C1527,P0264,W003,10,28706.94,0.02,13
O00288,2025-12-19,C4053,P0002,W004,6,2440.82,0.06,12
O00289,2025-09-02,C0834,P0149,W005,6,14500.22,0.17,9
O00290,2025-03-22,C4416,P0116,W001,1,3492.22,0.06,6
O00291,2025-11-15,C2411,P0404,W004,3,12738.92,0.21,8
O00292,2024-10-25,C2350,P0243,W005,10,15336.12,0.08,1
O00293,2024-09-28,C3414,P0052,W002,8,21618.31,0.16,15
O00294,2025-12-16,C0426,P0306,W002,3,11899.32,0.18,14
O00295,2024-08-27,C1535,P0287,W001,8,23352.34,0.1,5
O00296,2024-08-04,C4524,P0360,W005,1,4535.37,0.2,4
O00297,2024-10-19,C1046,P0103,W002,1,1222.81,0.17,2
O00298,2025-05-25,C1851,P0399,W001,9,16188.98,0.16,9
O00299,2025-08-21,C4081,P0237,W004,3,19236.56,0.04,13
O00300,2025-03-31,C4783,P0433,W005,8,26019.95,0.14,2
O00301,2024-06-29,C0066,P0178,W005,6,21794.18,0.13,7
O00302,2026-02-13,C3708,P0108,W005,3,8868.82,0.07,8
O00303,2025-09-02,C1460,P0144,W004,2,6713.13,0.12,8
O00304,2025-05-29,C0292,P0288,W002,2,1733.8,0.15,6
O00305,2024-08-15,C3486,P0079,W003,4,11859.42,0.16,4
O00306,2024-10-06,C1652,P0461,W002,8,33143.22,0.01,1
O00307,2025-08-24,C1426,P0358,W002,5,15097.16,0.07,13
O00308,2026-03-14,C1037,P0146,W003,6,32271.83,0.15,10
O00309,2024-12-01,C1310,P0258,W003,1,6941.63,0.02,15
O00310,2024-09-25,C1695,P0015,W004,10,36639.07,0.04,5
O00311,2025-01-10,C1310,P0094,W005,1,4233.89,0.16,15
O00312,2025-04-16,C3861,P0233,W001,7,34268.91,0.04,15
O00313,2024-11-02,C1229,P0347,W001,1,5119.98,0.14,2
O00314,2025-08-23,C0295,P0138,W003,8,52811.09,0.14,13
O00315,2026-02-18,C4660,P0283,W002,9,30784.3,0.14,1
O00316,2026-02-20,C4954,P0335,W002,5,25508.18,0.02,7
O00317,2025-02-16,C4078,P0414,W002,4,3569.94,0.07,14
O00318,2024-10-10,C0857,P0387,W002,4,30373.28,0.01,11
O00319,2025-10-24,C4676,P0087,W003,7,13725.28,0.01,6
O00320,2026-04-15,C3109,P0177,W004,5,18694.46,0.25,13
O00321,2026-03-28,C2982,P0312,W004,5,17549.84,0.07,3
O00322,2026-04-04,C1701,P0189,W005,7,23165.38,0.18,12
O00323,2025-12-05,C1297,P0456,W004,5,26985.21,0.17,2
O00324,2026-01-15,C4409,P0433,W002,4,14825.32,0.02,15
O00325,2024-07-07,C4135,P0217,W005,7,29274.23,0.05,12
O00326,2025-07-14,C2723,P0409,W004,5,28461.55,0.0,10
O00327,2026-04-20,C0131,P0362,W004,5,4367.23,0.09,6
O00328,2025-02-20,C0844,P0187,W002,6,25429.01,0.15,5
O00329,2026-03-08,C4214,P0257,W003,8,27710.79,0.16,6
O00330,2025-06-14,C0019,P0301,W003,10,45432.79,0.17,1
O00331,2025-05-29,C3333,P0119,W004,5,31467.73,0.11,2
O00332,2024-10-25,C1785,P0159,W003,7,32599.74,0.23,5
O00333,2025-10-17,C0629,P0082,W001,4,16679.87,0.14,8
O00334,2026-05-01,C1988,P0029,W005,7,45138.84,0.04,3
O00335,2025-11-18,C0141,P0450,W003,9,40770.02,0.12,14
O00336,2025-01-06,C0541,P0094,W005,8,31451.72,0.22,8
O00337,2024-07-22,C3998,P0249,W004,3,16489.2,0.02,9
O00338,2026-04-04,C3298,P0255,W004,1,834.26,0.1,14
O00339,2025-11-11,C3846,P0114,W005,1,2120.54,0.24,10
O00340,2025-12-21,C3991,P0473,W002,4,9716.69,0.14,6
O00341,2025-08-18,C2728,P0407,W001,10,16071.85,0.08,12
O00342,2026-05-30,C2859,P0450,W001,4,19767.28,0.04,8
O00343,2024-08-07,C0044,P0470,W001,9,7173.04,0.22,6
O00344,2026-02-18,C2483,P0326,W005,8,12169.34,0.12,14
O00345,2025-05-13,C2482,P0291,W005,10,15227.26,0.05,13
O00346,2025-02-10,C0182,P0320,W002,4,21120.55,0.03,1
O00347,2025-07-08,C4217,P0087,W004,4,6971.57,0.12,5
O00348,2025-01-06,C3611,P0044,W003,5,24394.15,0.05,13
O00349,2025-12-01,C1335,P0408,W002,5,7209.66,0.21,11
O00350,2024-08-05,C4979,P0129,W004,10,11129.18,0.25,1
O00351,2026-02-13,C0621,P0056,W004,8,51486.81,0.06,15
O00352,2025-12-10,C1172,P0201,W002,4,21739.85,0.02,1
O00353,2026-03-26,C2623,P0331,W001,8,7707.4,0.11,11
O00354,2025-11-04,C4809,P0372,W005,4,24353.53,0.1,5
O00355,2026-03-25,C4071,P0006,W002,2,9398.3,0.08,10
O00356,2025-02-17,C1355,P0258,W002,7,38178.99,0.23,14
O00357,2024-11-01,C4832,P0124,W003,3,12873.99,0.08,9
O00358,2025-09-14,C0549,P0127,W003,4,8621.92,0.12,1
O00359,2024-12-22,C1394,P0328,W004,7,32413.97,0.14,15
O00360,2025-06-13,C2631,P0494,W005,6,28763.23,0.14,10
O00361,2026-03-15,C0921,P0224,W005,2,3508.45,0.18,14
O00362,2025-01-03,C4951,P0435,W003,2,13096.71,0.11,11
O00363,2026-05-24,C0260,P0493,W005,4,7807.6,0.21,9
O00364,2024-12-07,C1884,P0134,W001,7,40167.14,0.15,13
O00365,2024-10-10,C1944,P0434,W001,7,32728.45,0.13,3
O00366,2024-11-26,C0270,P0289,W002,3,2496.96,0.1,3
O00367,2026-03-22,C0641,P0370,W003,3,8343.32,0.1,4
O00368,2025-11-14,C1278,P0404,W004,4,20210.26,0.06,9
O00369,2025-01-04,C1359,P0373,W005,8,19156.11,0.21,2
O00370,2024-08-22,C0332,P0333,W003,3,5790.58,0.12,14
O00371,2024-06-14,C0434,P0385,W004,3,20248.48,0.03,3
O00372,2024-06-25,C0517,P0391,W001,8,8146.3,0.2,10
O00373,2024-07-23,C0400,P0054,W003,6,13105.85,0.13,4
O00374,2026-03-20,C2494,P0203,W005,3,19946.73,0.01,1
O00375,2024-10-13,C2181,P0131,W001,7,16308.73,0.05,3
O00376,2025-05-26,C4573,P0109,W004,2,9246.14,0.03,10
O00377,2025-07-05,C4315,P0010,W005,7,33199.89,0.19,12
O00378,2024-09-13,C1745,P0420,W001,2,4895.39,0.13,5
O00379,2024-09-14,C0647,P0236,W002,7,35683.78,0.16,11
O00380,2026-03-03,C1748,P0326,W005,10,14347.38,0.17,14
O00381,2024-10-04,C1508,P0441,W001,5,29324.39,0.01,15
O00382,2024-09-23,C4100,P0279,W004,5,20740.84,0.13,4
O00383,2025-01-27,C0437,P0297,W005,8,18550.77,0.02,11
O00384,2026-01-03,C2045,P0143,W001,1,4977.27,0.21,11
O00385,2026-05-22,C1777,P0105,W003,9,35205.45,0.21,14
O00386,2025-07-08,C2177,P0059,W005,7,43496.0,0.13,3
O00387,2024-12-28,C1577,P0131,W002,10,21581.47,0.12,15
O00388,2026-02-24,C2387,P0280,W003,8,40777.99,0.1,14
O00389,2024-12-20,C3874,P0430,W004,7,16113.33,0.18,6
O00390,2026-04-11,C4857,P0319,W002,5,19516.08,0.2,8
O00391,2025-10-17,C2399,P0250,W005,6,14262.32,0.17,5
O00392,2026-02-26,C2138,P0100,W004,9,16406.28,0.2,9
O00393,2024-10-11,C0656,P0496,W004,10,47356.3,0.22,7
O00394,2024-09-18,C4856,P0465,W003,7,17880.37,0.04,12
O00395,2025-05-12,C0693,P0491,W001,3,1973.15,0.02,10
O00396,2024-09-07,C0442,P0346,W002,5,16022.79,0.13,3
O00397,2026-01-09,C0250,P0493,W005,4,7906.43,0.2,15
